Gen	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143	t_n144	t_n145	t_n146	t_n147	t_n148	t_n149	t_n150	t_n151	t_n152	t_n153	t_n154	t_n155	t_n156	t_n157	t_n158	t_n159	t_n160	t_n161	t_n162	t_n163	t_n164	t_n165	t_n166	t_n167	t_n168	t_n169	t_n170	t_n171	t_n172	t_n173	t_n174	t_n175	t_n176	t_n177	t_n178	t_n179	t_n180	t_n181	t_n182	t_n183	t_n184	t_n185	t_n186	t_n187	t_n188	t_n189	t_n190	t_n191	t_n192	t_n193	t_n194	t_n195	t_n196	t_n197	t_n198	t_n199	mu	sigma2	lnL
110100	0.2884728	0.2883693	0.2321271	0.2090874	0.0921470	0.0368709	0.0316028	0.1893413	0.1143330	0.0703981	0.1579025	0.0379031	0.1405728	0.1201759	0.1033697	0.0798843	0.0523292	0.0224310	0.0641587	0.0510594	0.0278930	0.0390978	0.0339099	0.0268201	0.0791605	0.0268924	0.1369474	0.1068176	0.0588817	0.0290886	0.2421446	0.0459483	0.1568819	0.0850300	0.0302485	0.1382138	0.0771390	0.0478020	0.0534642	0.0318360	0.0895964	0.2470438	0.2324988	0.1228477	0.0793784	0.2159253	0.1972867	0.1786084	0.0695007	0.0464752	0.1621123	0.1510178	0.0876988	0.1257587	0.0675099	0.1089785	0.0833606	0.0338475	0.1018235	0.0820099	0.0660040	0.0169388	0.1203494	0.0496326	0.1741984	0.1605751	0.0596677	0.0387313	0.1258081	0.1035467	0.0547410	0.1126339	0.0789429	0.0523205	0.0361268	0.0983333	0.0820620	0.0509833	0.0398034	0.0539589	0.0430133	0.0730117	0.2107196	0.1829484	0.1410145	0.1094643	0.1796646	0.1221486	0.0903782	0.0449160	0.1533690	0.1167546	0.0489995	0.0923128	0.0637960	0.0736620	0.0591684	0.0401135	0.0224195	0.1480560	0.4305323	-80.428
110200	0.2717378	0.2702628	0.2245972	0.2069740	0.0643398	0.0252043	0.0345497	0.1885406	0.1294409	0.0842216	0.1673815	0.0509683	0.1412412	0.1239945	0.1084010	0.0807593	0.0534959	0.0281299	0.0677972	0.0553963	0.0277656	0.0383407	0.0310345	0.0249132	0.0636777	0.0347452	0.1297062	0.1016668	0.0601707	0.0250668	0.2324770	0.0494187	0.1755309	0.0857119	0.0426559	0.1412763	0.0929544	0.0489616	0.0571438	0.0265550	0.0996546	0.2438907	0.2295313	0.1338015	0.1003949	0.2131693	0.1979016	0.1763287	0.0793229	0.0583738	0.1600432	0.1490902	0.1172809	0.1279279	0.0650863	0.1122903	0.0610992	0.0212287	0.0919534	0.0605909	0.0586438	0.0207186	0.1067318	0.0348413	0.1753520	0.1610817	0.0803188	0.0493322	0.1248398	0.1060676	0.0635778	0.1135401	0.0733935	0.0556256	0.0244207	0.0944752	0.0774774	0.0625321	0.0366844	0.0504608	0.0241948	0.0453362	0.2080301	0.1879012	0.1347722	0.0956854	0.1805743	0.1216001	0.0867837	0.0575915	0.1334920	0.1185612	0.0430794	0.0937381	0.0688988	0.0794222	0.0461517	0.0361606	0.0219779	0.1554951	0.4874466	-101.458
110300	0.3129634	0.3001577	0.2619993	0.2414414	0.1302361	0.0536771	0.0560837	0.2199383	0.1189463	0.0726818	0.1936330	0.0554540	0.1635638	0.1415330	0.1267273	0.0937825	0.0649646	0.0280012	0.0716760	0.0613130	0.0475393	0.0466350	0.0382431	0.0261088	0.1041699	0.0372216	0.1391005	0.1022999	0.0687537	0.0359498	0.2632880	0.1294001	0.1903992	0.0729961	0.0606068	0.1361890	0.1036917	0.0783771	0.0911287	0.0507106	0.1117495	0.2845058	0.2677552	0.2082978	0.1313397	0.2486685	0.2308582	0.2056927	0.1008064	0.0736089	0.1886962	0.1662137	0.1084491	0.1421642	0.0911810	0.1220482	0.0564132	0.0274943	0.1112865	0.0554643	0.0691161	0.0306572	0.1677711	0.0602262	0.2051214	0.1747154	0.0935500	0.0751963	0.1489858	0.1229147	0.0851622	0.1245356	0.0935229	0.0711093	0.0348616	0.1057147	0.0815525	0.0592887	0.0320637	0.0522005	0.0272739	0.0587359	0.2390464	0.2191924	0.1843900	0.1007640	0.2074364	0.1412671	0.1034459	0.0539407	0.1677246	0.1275366	0.0565046	0.1120635	0.0731706	0.0781444	0.0504108	0.0336153	0.0233781	0.1237766	0.4751258	-106.103
110400	0.2671330	0.2562025	0.2283670	0.2090812	0.0705721	0.0423710	0.0497575	0.1857746	0.1146826	0.0961599	0.1701661	0.0801248	0.1466777	0.1282917	0.1092331	0.0733292	0.0554950	0.0237120	0.0584008	0.0513894	0.0339709	0.0422415	0.0350024	0.0217144	0.0844749	0.0350793	0.1171650	0.0924644	0.0479969	0.0278134	0.2321895	0.0761492	0.1976995	0.0632351	0.0296348	0.1386886	0.0978095	0.0599001	0.0677902	0.0262545	0.0949138	0.2428427	0.2285450	0.1633808	0.0993530	0.2122534	0.1970513	0.1775580	0.0841735	0.0504029	0.1610635	0.1455444	0.1247287	0.1276028	0.0757637	0.1074304	0.0651331	0.0355834	0.0985507	0.0442423	0.0649290	0.0262221	0.1437679	0.0938914	0.1683555	0.1473821	0.0937435	0.0632065	0.1257606	0.1045351	0.0640611	0.1035753	0.0759317	0.0488812	0.0440670	0.0848574	0.0756202	0.0561226	0.0379909	0.0570941	0.0393043	0.0675748	0.2040404	0.1895609	0.1312974	0.0612034	0.1716182	0.1150717	0.0915090	0.0498041	0.1434145	0.1049252	0.0591224	0.0917978	0.0499174	0.0520269	0.0410115	0.0309064	0.0199709	0.1501057	0.4613907	-122.937
110500	0.2845956	0.2833982	0.2358382	0.2208539	0.0906291	0.0374092	0.0466611	0.1932047	0.1372482	0.1098022	0.1731342	0.0914379	0.1574785	0.1404982	0.1087614	0.0839196	0.0567287	0.0305042	0.0665904	0.0584951	0.0390029	0.0455830	0.0330739	0.0235873	0.1135108	0.0386236	0.1249470	0.1018521	0.0396806	0.0295373	0.2330927	0.0838074	0.1764357	0.0983251	0.0362826	0.1386715	0.1160936	0.0427905	0.0989485	0.0268146	0.1065218	0.2565165	0.2414138	0.1819058	0.1079266	0.2242048	0.2039395	0.1875558	0.1429580	0.0604749	0.1678375	0.1512817	0.1013718	0.1311119	0.0931048	0.1134795	0.0857206	0.0522809	0.1028005	0.0613534	0.0579070	0.0356030	0.1417930	0.0868735	0.1762627	0.1555402	0.0626702	0.0440206	0.1325899	0.1071772	0.0716318	0.1096368	0.0769074	0.0548426	0.0344867	0.0907367	0.0798121	0.0560265	0.0340301	0.0563458	0.0298415	0.0726027	0.2227935	0.1781076	0.1347846	0.0567660	0.1583277	0.1226881	0.0975086	0.0598899	0.1393987	0.1172143	0.0634377	0.1026304	0.0637097	0.0696811	0.0572445	0.0449841	0.0204321	0.1447586	0.4916488	-98.481
110600	0.2923638	0.2915298	0.2529352	0.2198683	0.1555098	0.0295760	0.0718030	0.1940080	0.1602198	0.1031089	0.1798755	0.0993032	0.1602166	0.1374720	0.1051815	0.0907376	0.0575274	0.0369572	0.0745936	0.0623308	0.0464458	0.0452439	0.0321420	0.0166361	0.1228159	0.0317600	0.1327996	0.0907247	0.0536384	0.0362489	0.2505615	0.1439875	0.1810002	0.1142180	0.0465938	0.1392979	0.1190861	0.0518050	0.0791640	0.0193854	0.1045039	0.2632743	0.2508137	0.2112379	0.0893386	0.2271694	0.2118803	0.1972611	0.1342557	0.0615655	0.1743725	0.1571722	0.1166520	0.1330793	0.0688699	0.1138324	0.0716713	0.0563591	0.1038927	0.0719808	0.0485236	0.0234364	0.1510632	0.1152725	0.1895853	0.1603890	0.0771747	0.0333117	0.1449107	0.1153109	0.0707029	0.1222302	0.0838020	0.0527988	0.0382729	0.0914517	0.0832265	0.0512791	0.0281933	0.0662037	0.0226958	0.0599135	0.2330115	0.1780266	0.1231683	0.0885987	0.1829320	0.1219894	0.1006943	0.0539855	0.1403864	0.1162235	0.0681072	0.1059995	0.0688734	0.0797312	0.0710697	0.0389293	0.0189091	0.1351251	0.5305727	-95.047
110700	0.3308809	0.3186836	0.2937603	0.2475515	0.1732973	0.0285467	0.0738151	0.2184353	0.1529714	0.1084856	0.2025233	0.0814563	0.1803892	0.1651072	0.1275247	0.1043095	0.0629926	0.0322756	0.0953267	0.0690993	0.0488700	0.0535769	0.0384204	0.0271955	0.1413637	0.0425995	0.1501805	0.0916263	0.0454326	0.0346929	0.2775875	0.1715398	0.2082260	0.1217491	0.0408699	0.1516653	0.1339422	0.0659698	0.1001672	0.0307828	0.0955749	0.2964228	0.2823932	0.1900187	0.0950280	0.2590829	0.2385578	0.2166094	0.1501491	0.0758453	0.1963275	0.1752300	0.0949997	0.1479236	0.0544120	0.1292302	0.0856572	0.0480328	0.1144579	0.0686006	0.0861531	0.0341467	0.1722971	0.1189882	0.2141520	0.1789957	0.0762298	0.0382531	0.1664079	0.1097562	0.0533420	0.1439359	0.0936626	0.0656861	0.0582681	0.1093108	0.0976433	0.0673591	0.0372152	0.0824692	0.0221077	0.0831292	0.2390731	0.1694773	0.1317558	0.0717278	0.1930913	0.1304365	0.0691717	0.0440971	0.1672317	0.1343720	0.0819377	0.1135122	0.0843879	0.0897700	0.0835072	0.0437935	0.0292238	0.1319947	0.5317294	-91.716
110800	0.2743156	0.2608657	0.2378345	0.2101166	0.1078918	0.0180685	0.0555336	0.1788215	0.1055933	0.0793088	0.1643555	0.0755921	0.1455564	0.1351523	0.1081716	0.0831765	0.0598675	0.0369319	0.0699247	0.0574136	0.0253000	0.0479387	0.0386228	0.0170430	0.1099008	0.0543054	0.1368297	0.0886785	0.0506164	0.0397790	0.2249300	0.0817062	0.1709036	0.0946050	0.0604775	0.1228343	0.1005761	0.0534031	0.0679696	0.0285505	0.0786613	0.2426436	0.2311594	0.1552840	0.0755576	0.2097379	0.1973420	0.1773105	0.1203665	0.0573602	0.1607083	0.1454106	0.0652855	0.1163232	0.0447008	0.1054367	0.0679463	0.0366722	0.0954890	0.0283093	0.0785210	0.0161359	0.1368621	0.0653114	0.1750917	0.1467908	0.0857822	0.0405321	0.1289505	0.1034828	0.0263115	0.1135877	0.0702519	0.0528009	0.0466047	0.0894145	0.0790506	0.0549167	0.0376350	0.0585405	0.0174411	0.0875573	0.2091572	0.1565618	0.1279098	0.0433965	0.1656702	0.0934130	0.0707018	0.0472144	0.1439246	0.1090119	0.0453690	0.0917759	0.0516192	0.0709472	0.0540780	0.0309687	0.0223735	0.1450803	0.4390706	-104.856
110900	0.3170487	0.3050832	0.2829147	0.2458843	0.1564925	0.0318165	0.0484553	0.2123331	0.1485055	0.0789989	0.1932523	0.0617024	0.1676427	0.1526471	0.1330059	0.1003359	0.0702758	0.0285235	0.0843709	0.0655051	0.0367061	0.0525545	0.0375861	0.0146821	0.1142914	0.0508040	0.1851988	0.0940148	0.0707115	0.0429412	0.2752671	0.0927288	0.2060246	0.1151535	0.0615774	0.1527543	0.1213999	0.0566530	0.0867532	0.0347153	0.0516571	0.2837724	0.2703415	0.1982942	0.0623034	0.2503275	0.2255369	0.2050258	0.1545168	0.0771355	0.1879488	0.1708627	0.0703976	0.1368194	0.0494492	0.1233085	0.0569468	0.0227496	0.1100348	0.0311822	0.0776495	0.0225560	0.1402630	0.1012324	0.2022718	0.1716723	0.0964465	0.0434942	0.1470327	0.1211986	0.0128627	0.1232714	0.0729223	0.0588496	0.0438911	0.1016661	0.0906247	0.0603414	0.0406844	0.0475415	0.0179135	0.1298223	0.2594786	0.1755562	0.1325370	0.0768027	0.1898266	0.1258239	0.0941553	0.0510660	0.1572305	0.1267994	0.0637615	0.1068462	0.0644517	0.0754650	0.0598524	0.0395518	0.0272234	0.1326422	0.4783450	-91.408
111000	0.3352688	0.3235070	0.3027715	0.2635945	0.1392124	0.0336257	0.0408207	0.2189040	0.1624029	0.0824145	0.2040210	0.0766817	0.1797795	0.1596616	0.1379303	0.1215753	0.0817264	0.0534508	0.0943698	0.0630329	0.0418051	0.0455268	0.0319264	0.0175096	0.0999996	0.0431173	0.1921780	0.1194686	0.0623589	0.0425927	0.2938134	0.0653834	0.2151947	0.1316971	0.0700787	0.1734391	0.1439013	0.0654798	0.1094843	0.0460323	0.0429153	0.2995851	0.2854059	0.1806039	0.0474627	0.2685198	0.2423161	0.2188906	0.1030805	0.0586019	0.2001597	0.1811424	0.0903316	0.1488299	0.0706752	0.1280033	0.0554477	0.0358120	0.1109876	0.0335936	0.0626839	0.0449353	0.1469568	0.1015252	0.2135431	0.1872358	0.1413599	0.0518539	0.1576304	0.1118471	0.0211169	0.1260639	0.0858316	0.0582142	0.0491658	0.1101997	0.0845018	0.0682131	0.0334468	0.0504240	0.0249407	0.1457634	0.2691090	0.1861505	0.1573308	0.0952907	0.2012737	0.1279996	0.0967860	0.0454602	0.1634749	0.1357078	0.0765419	0.1094917	0.0529963	0.0810563	0.0604571	0.0368070	0.0241825	0.1264348	0.4570730	-115.058
